ID,SQ,SG,sex,group,BM,BH,SH,CA,dAPHV,APHV,0-10m,10-30m,0-30m,30-60m,0-60m,FOST,TH,CMJ,DJ,12MR,FJT,SUs,SUb
1231,LK,0,m,J,70.2,185,97,15.33,2.43,12.9,1.72,2.4,4.12,3.38,7.5,14.77,10.16,56.3,1.94,2830,16.62,,8
1232,LK,0,f,J,56.5,166,86,14.14,2,12.13,1.74,2.61,4.35,3.76,8.11,12.02,8.82,34.22,1.98,2630,14.85,28,
1233,LK,0,f,J,57.7,168,87,16.4,3.33,13.07,1.83,2.55,4.38,3.51,7.89,10.6,8.58,40.1,2.11,2350,15.25,4,5
1234,LK,0,m,J,64.3,180,96,14.03,1.53,12.51,1.69,2.52,4.21,3.59,7.8,11.05,8.37,43.4,1.87,3230,15.46,9,9
1237,LK,0,m,J,58,180,89,15.23,1.17,14.06,1.67,2.41,4.08,3.42,7.54,13.05,10.04,50.7,2.28,2660,17.81,,12
1238,LK,0,f,J,59.4,167.8,89.7,17.23,3.93,13.3,1.96,2.47,4.43,3.43,7.87,12.57,8.61,45.6,1.93,2510,14.82,22,
1240,PK,4,m,J,61.5,178.8,94.1,15.78,2.21,13.58,,,3.89,3.28,7.17,14.02,,54,1.97,,,,30.5
1243,LK,0,m,J,77.2,186,98,15.81,2.92,12.89,1.74,,,,7.38,14.9,9.46,47.94,1.82,2690,17.33,12,
1244,LK,0,f,J,62,173.5,86.5,13.8,2.13,11.67,1.69,2.47,4.16,3.46,7.62,11.4,8.55,45.5,1.79,2310,15.64,,
1246,NK1,3,f,J,55,165.4,90.4,15.03,2.68,12.35,,,4.38,3.72,8.1,11.21,,38.7,1.83,,,,20
1247,NK2,2,m,J,75,188.7,96.5,15.43,2.46,12.96,,,3.98,3.13,7.11,15.85,,65.3,1.83,,,,8.5
