"","sex","CAc","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"172","m",-1.40994943109987,-0.556613249427609,0.295225112690822,290.719223260366,-1.13766276688447,0.0244362680292488,"SUb"
"173","f",-0.409949431099873,-0.383599430787245,0.140895191091157,257.127705676353,-0.66105487217716,-0.106143989397331,"SUb"
"174","m",-0.409949431099873,-0.375497398958315,0.187195205657867,294.978816790469,-0.743904807596871,-0.00708999031975872,"SUb"
"175","f",0.590050568900127,-0.467995429951595,0.155342472452134,283.147128045362,-0.773768062322117,-0.162222797581074,"SUb"
"176","m",0.590050568900127,-0.19438154848902,0.12997130926267,284.527858861342,-0.450208824533926,0.0614457275558848,"SUb"
"177","f",1.59005056890013,-0.552391429115945,0.23299504877096,285.204359607891,-1.01099944870278,-0.0937834095291096,"SUb"
"178","m",1.59005056890013,-0.0132656980197254,0.180857280179131,294.997976879675,-0.369199728822775,0.342668332783324,"SUb"
"179","f",2.59005056890013,-0.636787428280296,0.33214105721114,264.460034478567,-1.29076477482832,0.0171899182677283,"SUb"
"180","m",2.59005056890013,0.16785015244957,0.287215056548768,290.888687128947,-0.397432936409984,0.733133241309124,"SUb"
"181","f",3.59005056890013,-0.721183427444645,0.438433861771872,253.943639506562,-1.58461299204264,0.142246137153345,"SUb"
"182","m",3.59005056890013,0.348966002918864,0.407727776800906,287.722010859175,-0.453541420457731,1.15147342629546,"SUb"
